EA_ID,Rtn_Type,Mon_Point,Mon_Date,Parameter,Value,Unit
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,1,1,2-Tetrafluoroethane",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,1,1-trichloro-2,2-ethane",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,1,1-Trichloroethane",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,1,2,2-Tetrabromoethane",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,1,2-Trichloro-1,2,2-trifluoroethane",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,1,2-Trichloroethane",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,19-Eicosadiene",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,1-dichloro-2,2-bis-ethane",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,1-Dichloroethane",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,1-Dichloroethene",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,1-Dichloropropene",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,1-Dimethylethylbenzene",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,1'-Oxydi-2-propanol",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,2,3,4,6,7,8-Heptachlorodibenzofuran",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,2,3,4,7,8,9-Heptachlorodibenzofuran",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,2,3,4,7,8-Hexachlorodibenzofuran",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin",100,ug
BJ7786IV,Air point source emissions,Monitor point 3,07/08/2015,"1,2,3,4-Tetrachlorobenzene",100,ug
