EA_ID,Rtn_Type,Mon_Point,Mon_Date,Parameter,Value,Unit
BU6000IL,Landfill leachate monitoring,Monitor point 1,2015-08-05,1-Chloro-4-nitrobenzene,100,ug
BU6000IL,Emissions to surface water,Monitor point 1,2015-08-05,1-Chloro-4-nitrobenzene,100,ug
BU7090IZ,Emissions to groundwater,Monitor point 2,2015-08-05,1-Chloro-4-nitrobenzene,100,ug
BU0605IR,Methane capped surfaces,Monitor point 3,2015-08-05,1-Chloro-4-nitrobenzene,100,ug
BU7103IC,Landfill gas borehole,Monitor point 4,2015-08-05,1-Chloro-4-nitrobenzene,100,ug
BK1244IA,Landfill gas engine,Monitor point 5,2015-08-05,1-Chloro-4-nitrobenzene,100,ug
CP3033LL,Landfill gas flare,Monitor point 6,2015-08-05,1-Chloro-4-nitrobenzene,100,ug
CP3735SM,Emissions to sewer,Monitor point 7,2015-08-05,1-Chloro-4-nitrobenzene,100,ug
DP3238SB,Ambient air quality,Monitor point 8,2015-08-05,1-Chloro-4-nitrobenzene,100,ug
DP3431PC,Air point source emissions,Monitor point 9,2015-08-05,1-Chloro-4-nitrobenzene,100,ug
EP3136GK,Tankered emissions,Monitor point 10,2015-08-05,1-Chloro-4-nitrobenzene,100,ug
EP3934LB,Landfill annual monitoring report,Monitor point 11,2015-08-05,1-Chloro-4-nitrobenzene,100,ug
