EA_ID,Rtn_Type,Site_Name,Mon_Point,Mon_Date,Parameter,Value,Unit
AA9999AA,Landfill leachate monitoring,Test Site,Monitor point 1,2015-08-05,1-Chloro-4-nitrobenzene,100,ug
AA9999AA,Emissions to surface water,Test Site,Monitor point 1,2015-08-05,1-Chloro-4-nitrobenzene,100,ug
AA9999AA,Emissions to groundwater,Test Site,Monitor point 2,2015-08-05,1-Chloro-4-nitrobenzene,100,ug
AA9999AA,Methane capped surfaces,Test Site,Monitor point 3,2015-08-05,1-Chloro-4-nitrobenzene,100,ug
AA9999AA,Landfill gas borehole,Test Site,Monitor point 4,2015-08-05,1-Chloro-4-nitrobenzene,100,ug
AA9999AA,Landfill gas engine,Test Site,Monitor point 5,2015-08-05,1-Chloro-4-nitrobenzene,100,ug
AA9999AA,Landfill gas flare,Test Site,Monitor point 6,2015-08-05,1-Chloro-4-nitrobenzene,100,ug
AA9999AA,Emissions to sewer,Test Site,Monitor point 7,2015-08-05,1-Chloro-4-nitrobenzene,100,ug
AA9999AA,Ambient air quality,Test Site,Monitor point 8,2015-08-05,1-Chloro-4-nitrobenzene,100,ug
AA9999AA,Air point source emissions,Test Site,Monitor point 9,2015-08-05,1-Chloro-4-nitrobenzene,100,ug
AA9999AA,Tankered emissions,Test Site,Monitor point 10,2015-08-05,1-Chloro-4-nitrobenzene,100,ug
AA9999AA,Landfill annual monitoring report,Test Site,Monitor point 11,2015-08-05,1-Chloro-4-nitrobenzene,100,ug
