EA_ID,Rtn_Type,Site_Name,Parameter,Unit,Mon_Point,Mon_Date,Value
AA9999AA,Landfill leachate monitoring,Test Site,"1,1,1,2-Tetrafluoroethane",%,TGAB1,31-12-2015T23:59:00,1.24
AA9999AA,Emissions to surface water,Test Site,"1,1,1,2-Tetrafluoroethane",%,TGAB2,31-12-2015T23:59:00,1.68
AA9999AA,Emissions to groundwater,Test Site,"1,1,1,2-Tetrafluoroethane",%,TGAB3,31-12-2015T23:59:00,1.39
AA9999AA,Methane capped surfaces,Test Site,"1,1,1,2-Tetrafluoroethane",%,TGAB4,31-12-2015T23:59:00,1.43
AA9999AA,Landfill gas borehole,Test Site,"1,1,1,2-Tetrafluoroethane",%,TGMP1a,31-12-2015T23:59:00,0
AA9999AA,Landfill gas engine,Test Site,"1,1,1,2-Tetrafluoroethane",%,TG005WM,17-12-2015T15:20:00,17.24
AA9999AA,Landfill gas flare,Test Site,"1,1,1,2-Tetrafluoroethane",%,TG005WM,17-12-2015T15:20:00,38.67
AA9999AA,Emissions to sewer,Test Site,"1,1,1,2-Tetrafluoroethane",%,TG005WM,17-12-2015T15:20:00,10.76
AA9999AA,Ambient air quality,Test Site,"1,1,1,2-Tetrafluoroethane",%,TG005WM,17-12-2015T15:20:00,27.91
AA9999AA,Air point source emissions,Test Site,"1,1,1,2-Tetrafluoroethane",%,TG013WM,17-12-2015T15:17:00,40.64
AA9999AA,Tankered emissions,Test Site,"1,1,1,2-Tetrafluoroethane",%,TG013WM,17-12-2015T15:17:00,39.16
AA9999AA,Landfill annual monitoring report,Test Site,"1,1,1,2-Tetrafluoroethane",%,TG013WM,17-12-2015T15:17:00,28.12
AA9999AA,Landfill leachate monitoring,Test Site,"1,1,1,2-Tetrafluoroethane",%,TG013WM,17-12-2015T15:17:00,11.04
AA9999AA,Emissions to surface water,Test Site,"1,1,1,2-Tetrafluoroethane",%,TG003WM,17-12-2015T15:07:00,18.15
AA9999AA,Emissions to groundwater,Test Site,"1,1,1,2-Tetrafluoroethane",%,TG003WM,17-12-2015T15:07:00,37.84
AA9999AA,Methane capped surfaces,Test Site,"1,1,1,2-Tetrafluoroethane",%,TG003WM,17-12-2015T15:07:00,6.4
AA9999AA,Landfill gas borehole,Test Site,"1,1,1,2-Tetrafluoroethane",%,TG003WM,17-12-2015T15:07:00,31.44
AA9999AA,Landfill gas engine,Test Site,"1,1,1,2-Tetrafluoroethane",%,TG011WM,17-12-2015T15:03:00,34.52
AA9999AA,Landfill gas flare,Test Site,"1,1,1,2-Tetrafluoroethane",%,TG011WM,17-12-2015T15:03:00,38.03
AA9999AA,Emissions to sewer,Test Site,"1,1,1,2-Tetrafluoroethane",%,TG011WM,17-12-2015T15:03:00,28.8
AA9999AA,Ambient air quality,Test Site,"1,1,1,2-Tetrafluoroethane",%,TG011WM,17-12-2015T15:03:00,9.23
AA9999AA,Air point source emissions,Test Site,"1,1,1,2-Tetrafluoroethane",%,TG SW Dis 1,17-12-2015T14:53:00,11.9
AA9999AA,Tankered emissions,Test Site,"1,1,1,2-Tetrafluoroethane",%,TG SW Dis 1,17-12-2015T14:53:00,0
AA9999AA,Landfill annual monitoring report,Test Site,"1,1,1,2-Tetrafluoroethane",%,TG014WM,17-12-2015T14:47:00,13.64
AA9999AA,Landfill leachate monitoring,Test Site,"1,1,1,2-Tetrafluoroethane",%,TG014WM,17-12-2015T14:47:00,33.89
AA9999AA,Emissions to surface water,Test Site,"1,1,1,2-Tetrafluoroethane",%,TG014WM,17-12-2015T14:47:00,13.15
AA9999AA,Emissions to groundwater,Test Site,"1,1,1,2-Tetrafluoroethane",%,TG014WM,17-12-2015T14:47:00,20.74
AA9999AA,Methane capped surfaces,Test Site,"1,1,1,2-Tetrafluoroethane",%,TG006WM,17-12-2015T14:45:00,3.95
AA9999AA,Landfill gas borehole,Test Site,"1,1,1,2-Tetrafluoroethane",%,TG006WM,17-12-2015T14:45:00,33.57
AA9999AA,Landfill gas engine,Test Site,"1,1,1,2-Tetrafluoroethane",%,TG006WM,17-12-2015T14:45:00,0.78
AA9999AA,Landfill gas flare,Test Site,"1,1,1,2-Tetrafluoroethane",%,TG006WM,17-12-2015T14:45:00,32.79
AA9999AA,Emissions to sewer,Test Site,"1,1,1,2-Tetrafluoroethane",%,TG SW Dis 3,17-12-2015T14:30:00,11.5
AA9999AA,Ambient air quality,Test Site,"1,1,1,2-Tetrafluoroethane",%,TG SW Dis 3,17-12-2015T14:30:00,0
AA9999AA,Air point source emissions,Test Site,"1,1,1,2-Tetrafluoroethane",%,TG002WM,17-12-2015T14:11:00,17.01
AA9999AA,Tankered emissions,Test Site,"1,1,1,2-Tetrafluoroethane",%,TG002WM,17-12-2015T14:11:00,31.61
AA9999AA,Landfill annual monitoring report,Test Site,"1,1,1,2-Tetrafluoroethane",%,TG002WM,17-12-2015T14:11:00,14.14
AA9999AA,Landfill leachate monitoring,Test Site,"1,1,1,2-Tetrafluoroethane",%,TG002WM,17-12-2015T14:11:00,17.47
AA9999AA,Emissions to surface water,Test Site,"1,1,1,2-Tetrafluoroethane",%,TG010WM,17-12-2015T14:09:00,38.75
AA9999AA,Emissions to groundwater,Test Site,"1,1,1,2-Tetrafluoroethane",%,TG010WM,17-12-2015T14:09:00,30.9
AA9999AA,Methane capped surfaces,Test Site,"1,1,1,2-Tetrafluoroethane",%,TG010WM,17-12-2015T14:09:00,20.68
AA9999AA,Landfill gas borehole,Test Site,"1,1,1,2-Tetrafluoroethane",%,TG010WM,17-12-2015T14:09:00,10.22
