EA_ID,Rtn_Type,Parameter,Unit,Site_Name,Mon_Point,Mon_Date,Value,Txt_Value,Comments
BK9377,EPR/IED Leachate quality return,Dip to leachate,m,Greatness,GLMB01A,26/10/2015,8.73,,
BK9377,EPR/IED Leachate quality return,Dip to leachate,m,Greatness,GLMB01A,09/11/2015,6.06,,
BK9377,EPR/IED Leachate quality return,Dip to leachate,m,Greatness,GLMB01A,01/12/2015,9.31,,
BK9377,EPR/IED Leachate quality return,Dip to leachate,m,Greatness,GLMB01B,26/10/2015,13.42,,
BK9377,EPR/IED Leachate quality return,Dip to leachate,m,Greatness,GLMB01B,09/11/2015,13.77,,
BK9377,EPR/IED Leachate quality return,Dip to leachate,m,Greatness,GLMB01B,01/12/2015,14.34,,
BK9377,EPR/IED Leachate quality return,Dip to leachate,m,Greatness,GLMB02A,26/10/2015,17.59,,
BK9377,EPR/IED Leachate quality return,Dip to leachate,m,Greatness,GLMB02A,09/11/2015,17.67,,
BK9377,EPR/IED Leachate quality return,Dip to leachate,m,Greatness,GLMB02A,01/12/2015,17.72,,
BK9377,EPR/IED Leachate quality return,Dip to leachate,m,Greatness,GLMB02B,26/10/2015,8.7,,
BK9377,EPR/IED Leachate quality return,Dip to leachate,m,Greatness,GLMB02B,09/11/2015,8.67,,
BK9377,EPR/IED Leachate quality return,Dip to leachate,m,Greatness,GLMB02B,01/12/2015,8.69,,
BK9377,EPR/IED Leachate quality return,Dip to leachate,m,Greatness,GLMB03A,26/10/2015,10.57,,
BK9377,EPR/IED Leachate quality return,Dip to leachate,m,Greatness,GLMB03A,09/11/2015,11.04,,
BK9377,EPR/IED Leachate quality return,Dip to leachate,m,Greatness,GLMB03A,01/12/2015,11.48,,
BK9377,EPR/IED Leachate quality return,Dip to leachate,m,Greatness,GLMB03B,26/10/2015,14.24,,
BK9377,EPR/IED Leachate quality return,Dip to leachate,m,Greatness,GLMB03B,09/11/2015,14.41,,
BK9377,EPR/IED Leachate quality return,Dip to leachate,m,Greatness,GLMB03B,01/12/2015,15.22,,
BK9377,EPR/IED Leachate quality return,Dip to leachate,m,Greatness,GLMB04A,26/10/2015,16.94,,
BK9377,EPR/IED Leachate quality return,Dip to leachate,m,Greatness,GLMB04A,09/11/2015,16.95,,
BK9377,EPR/IED Leachate quality return,Dip to leachate,m,Greatness,GLMB04A,02/12/2015,16.37,,
BK9377,EPR/IED Leachate quality return,Dip to leachate,m,Greatness,GLMB04B,26/10/2015,12.92,,
BK9377,EPR/IED Leachate quality return,Dip to leachate,m,Greatness,GLMB04B,09/11/2015,12.96,,
BK9377,EPR/IED Leachate quality return,Dip to leachate,m,Greatness,GLMB04B,02/12/2015,12.94,,
BK9377,EPR/IED Leachate quality return,Dip to leachate,m,Greatness,GLMB05A,26/10/2015,10.7,,
BK9377,EPR/IED Leachate quality return,Dip to leachate,m,Greatness,GLMB05A,09/11/2015,14.12,,
