EA_ID,Rtn_Type,Site_Name,Parameter,Unit,CAS,Site_Name,Mon_Point,Smpl_By,Mon_Date,Value,Smpl_Ref,Comments
BK9377IZ,EPR/IED Leachate level return,Rainham Landfill,"1,1,1,2-Tetrafluoroethane",%,,Trigon Hill,TGAB1,JJ Electrical,31-12-2015T23:59:00,1.24,,
BK9377IZ,EPR/IED Leachate level return,Rainham Landfill,"1,1,1,2-Tetrafluoroethane",%,,Trigon Hill,TGAB2,JJ Electrical,31-12-2015T23:59:00,1.68,,
BK9377IZ,EPR/IED Leachate level return,Rainham Landfill,"1,1,1,2-Tetrafluoroethane",%,,Trigon Hill,TGAB3,JJ Electrical,31-12-2015T23:59:00,1.39,,
BK9377IZ,EPR/IED Leachate level return,Rainham Landfill,"1,1,1,2-Tetrafluoroethane",%,,Trigon Hill,TGAB4,JJ Electrical,31-12-2015T23:59:00,1.43,,
BK9377IZ,EPR/IED Leachate level return,Rainham Landfill,"1,1,1,2-Tetrafluoroethane",%,,Trigon Hill,TGMP1a,JJ Electrical,31-12-2015T23:59:00,0,,
BK9377IZ,EPR/IED Groundwater quality/level return,Rainham Landfill,"1,1,1,2-Tetrafluoroethane",%,,Trigon Hill,TG005WM,Enitial,17-12-2015T15:20:00,17.24,,
BK9377IZ,EPR/IED Groundwater quality/level return,Rainham Landfill,"1,1,1,2-Tetrafluoroethane",%,,Trigon Hill,TG005WM,Enitial,17-12-2015T15:20:00,38.67,,
BK9377IZ,EPR/IED Groundwater quality/level return,Rainham Landfill,"1,1,1,2-Tetrafluoroethane",%,,Trigon Hill,TG005WM,Enitial,17-12-2015T15:20:00,10.76,,
BK9377IZ,EPR/IED Groundwater quality/level return,Rainham Landfill,"1,1,1,2-Tetrafluoroethane",%,,Trigon Hill,TG005WM,Derived,17-12-2015T15:20:00,27.91,,
BK9377IZ,EPR/IED Groundwater quality/level return,Rainham Landfill,"1,1,1,2-Tetrafluoroethane",%,,Trigon Hill,TG013WM,Enitial,17-12-2015T15:17:00,40.64,,
BK9377IZ,EPR/IED Groundwater quality/level return,Rainham Landfill,"1,1,1,2-Tetrafluoroethane",%,,Trigon Hill,TG013WM,Enitial,17-12-2015T15:17:00,39.16,,
BK9377IZ,EPR/IED Groundwater quality/level return,Rainham Landfill,"1,1,1,2-Tetrafluoroethane",%,,Trigon Hill,TG013WM,Enitial,17-12-2015T15:17:00,28.12,,
BK9377IZ,EPR/IED Groundwater quality/level return,Rainham Landfill,"1,1,1,2-Tetrafluoroethane",%,,Trigon Hill,TG013WM,Derived,17-12-2015T15:17:00,11.04,,
BK9377IZ,EPR/IED Groundwater quality/level return,Rainham Landfill,"1,1,1,2-Tetrafluoroethane",%,,Trigon Hill,TG003WM,Enitial,17-12-2015T15:07:00,18.15,,
BK9377IZ,EPR/IED Groundwater quality/level return,Rainham Landfill,"1,1,1,2-Tetrafluoroethane",%,,Trigon Hill,TG003WM,Enitial,17-12-2015T15:07:00,37.84,,
BK9377IZ,EPR/IED Groundwater quality/level return,Rainham Landfill,"1,1,1,2-Tetrafluoroethane",%,,Trigon Hill,TG003WM,Enitial,17-12-2015T15:07:00,6.4,,
BK9377IZ,EPR/IED Groundwater quality/level return,Rainham Landfill,"1,1,1,2-Tetrafluoroethane",%,,Trigon Hill,TG003WM,Derived,17-12-2015T15:07:00,31.44,,
BK9377IZ,EPR/IED Groundwater quality/level return,Rainham Landfill,"1,1,1,2-Tetrafluoroethane",%,,Trigon Hill,TG011WM,Enitial,17-12-2015T15:03:00,34.52,,
BK9377IZ,EPR/IED Groundwater quality/level return,Rainham Landfill,"1,1,1,2-Tetrafluoroethane",%,,Trigon Hill,TG011WM,Enitial,17-12-2015T15:03:00,38.03,,
BK9377IZ,EPR/IED Groundwater quality/level return,Rainham Landfill,"1,1,1,2-Tetrafluoroethane",%,,Trigon Hill,TG011WM,Enitial,17-12-2015T15:03:00,28.8,,
