"EA_ID","Site_Name","Rtn_Type","Mon_Date","Rtn_Period","Mon_Point","Parameter","Value","Unit","Ref_Period"
"AA9999AA","Test Site",,"20zzz15-08-05","Period 1","Monitor point 1","Temperature",100,"mg","Annual"
"AA9999AA","Test Site","invalid return type",2015-08-05,"Period 1",,,100,"mg","Annual"
"AA9999AA","Test Site","EPR/IED self monitoring periodic leachate production/treatment",2015-08-05,"Period 1","Monitor point 1","Temperature",100,"mg","Annual"
"AA9999AA","Test Site","Landfill gas borehole",2015-08-05,"Period 1","Monitor point 1","Temperature",,"76c308ad89","Annual"
"AA9999AA","Test Site",,"20zzz15-08-05","Period 1","Monitor point 1","Temperature",100,"mg","Annual"
"AA9999AA","Test Site","invalid return type",2015-08-05,"Period 1",,,100,"mg","Annual"
"AA9999AA","Test Site","EPR/IED self monitoring periodic leachate production/treatment",2015-08-05,"Period 1","Monitor point 1","Temperature",100,"mg","Annual"
"AA9999AA","Test Site","Landfill gas borehole",2015-08-05,"Period 1","Monitor point 1","Temperature",,"6f7db6b27e","Annual"
"AA9999AA","Test Site",,"20zzz15-08-05","Period 1","Monitor point 1","Temperature",100,"mg","Annual"
"AA9999AA","Test Site","invalid return type",2015-08-05,"Period 1",,,100,"mg","Annual"
"AA9999AA","Test Site","EPR/IED self monitoring periodic leachate production/treatment",2015-08-05,"Period 1","Monitor point 1","Temperature",100,"mg","Annual"
"AA9999AA","Test Site","Landfill gas borehole",2015-08-05,"Period 1","Monitor point 1","Temperature",,"b5ce4765c4","Annual"
"AA9999AA","Test Site",,"20zzz15-08-05","Period 1","Monitor point 1","Temperature",100,"mg","Annual"
"AA9999AA","Test Site","invalid return type",2015-08-05,"Period 1",,,100,"mg","Annual"
"AA9999AA","Test Site","EPR/IED self monitoring periodic leachate production/treatment",2015-08-05,"Period 1","Monitor point 1","Temperature",100,"mg","Annual"
"AA9999AA","Test Site","Landfill gas borehole",2015-08-05,"Period 1","Monitor point 1","Temperature",,"89f1f9636d","Annual"
"AA9999AA","Test Site",,"20zzz15-08-05","Period 1","Monitor point 1","Temperature",100,"mg","Annual"
"AA9999AA","Test Site","invalid return type",2015-08-05,"Period 1",,,100,"mg","Annual"
"AA9999AA","Test Site","EPR/IED self monitoring periodic leachate production/treatment",2015-08-05,"Period 1","Monitor point 1","Temperature",100,"mg","Annual"
"AA9999AA","Test Site","Landfill gas borehole",2015-08-05,"Period 1","Monitor point 1","Temperature",,"c60ef392f3","Annual"
"AA9999AA","Test Site",,"20zzz15-08-05","Period 1","Monitor point 1","Temperature",100,"mg","Annual"
"AA9999AA","Test Site","invalid return type",2015-08-05,"Period 1",,,100,"mg","Annual"
"AA9999AA","Test Site","EPR/IED self monitoring periodic leachate production/treatment",2015-08-05,"Period 1","Monitor point 1","Temperature",100,"mg","Annual"
"AA9999AA","Test Site","Landfill gas borehole",2015-08-05,"Period 1","Monitor point 1","Temperature",,"1a45be0318","Annual"
"AA9999AA","Test Site",,"20zzz15-08-05","Period 1","Monitor point 1","Temperature",100,"mg","Annual"
"AA9999AA","Test Site","invalid return type",2015-08-05,"Period 1",,,100,"mg","Annual"
"AA9999AA","Test Site","EPR/IED self monitoring periodic leachate production/treatment",2015-08-05,"Period 1","Monitor point 1","Temperature",100,"mg","Annual"
"AA9999AA","Test Site","Landfill gas borehole",2015-08-05,"Period 1","Monitor point 1","Temperature",,"f3ffa113c3","Annual"
"AA9999AA","Test Site",,"20zzz15-08-05","Period 1","Monitor point 1","Temperature",100,"mg","Annual"
"AA9999AA","Test Site","invalid return type",2015-08-05,"Period 1",,,100,"mg","Annual"
"AA9999AA","Test Site","EPR/IED self monitoring periodic leachate production/treatment",2015-08-05,"Period 1","Monitor point 1","Temperature",100,"mg","Annual"
"AA9999AA","Test Site","Landfill gas borehole",2015-08-05,"Period 1","Monitor point 1","Temperature",,"af009756d9","Annual"
"AA9999AA","Test Site",,"20zzz15-08-05","Period 1","Monitor point 1","Temperature",100,"mg","Annual"
"AA9999AA","Test Site","invalid return type",2015-08-05,"Period 1",,,100,"mg","Annual"
"AA9999AA","Test Site","EPR/IED self monitoring periodic leachate production/treatment",2015-08-05,"Period 1","Monitor point 1","Temperature",100,"mg","Annual"
"AA9999AA","Test Site","Landfill gas borehole",2015-08-05,"Period 1","Monitor point 1","Temperature",,"b02bdbee30","Annual"
"AA9999AA","Test Site",,"20zzz15-08-05","Period 1","Monitor point 1","Temperature",100,"mg","Annual"
"AA9999AA","Test Site","invalid return type",2015-08-05,"Period 1",,,100,"mg","Annual"
"AA9999AA","Test Site","EPR/IED self monitoring periodic leachate production/treatment",2015-08-05,"Period 1","Monitor point 1","Temperature",100,"mg","Annual"
"AA9999AA","Test Site","Landfill gas borehole",2015-08-05,"Period 1","Monitor point 1","Temperature",,"4f8d36cc5e","Annual"
"AA9999AA","Test Site",,"20zzz15-08-05","Period 1","Monitor point 1","Temperature",100,"mg","Annual"
"AA9999AA","Test Site","invalid return type",2015-08-05,"Period 1",,,100,"mg","Annual"
"AA9999AA","Test Site","EPR/IED self monitoring periodic leachate production/treatment",2015-08-05,"Period 1","Monitor point 1","Temperature",100,"mg","Annual"
"AA9999AA","Test Site","Landfill gas borehole",2015-08-05,"Period 1","Monitor point 1","Temperature",,"9dc3b11adc","Annual"
"AA9999AA","Test Site",,"20zzz15-08-05","Period 1","Monitor point 1","Temperature",100,"mg","Annual"
"AA9999AA","Test Site","invalid return type",2015-08-05,"Period 1",,,100,"mg","Annual"
"AA9999AA","Test Site","EPR/IED self monitoring periodic leachate production/treatment",2015-08-05,"Period 1","Monitor point 1","Temperature",100,"mg","Annual"
"AA9999AA","Test Site","Landfill gas borehole",2015-08-05,"Period 1","Monitor point 1","Temperature",,"68fc41559d","Annual"
"AA9999AA","Test Site",,"20zzz15-08-05","Period 1","Monitor point 1","Temperature",100,"mg","Annual"
"AA9999AA","Test Site","invalid return type",2015-08-05,"Period 1",,,100,"mg","Annual"
"AA9999AA","Test Site","EPR/IED self monitoring periodic leachate production/treatment",2015-08-05,"Period 1","Monitor point 1","Temperature",100,"mg","Annual"
"AA9999AA","Test Site","Landfill gas borehole",2015-08-05,"Period 1","Monitor point 1","Temperature",,"fbe6fa35b1","Annual"
